"Mlp:Fim [Animation] ""Snow Art""",47,81.03%,58,
Your Little Cat 4,44,75.86%,58,
Jingle Bell Rock (Fan Animation),28,48.28%,58,Tie determined randomly
Different View Of Ending [ Episode 1 ],28,48.28%,58,Tie determined randomly
The Great Hippo War,28,48.28%,58,Tie determined randomly
Friendship Is Randomly Musical 8,28,48.28%,58,Tie determined randomly
Mlp Animation - Ask Ponies - Fluttershy,23,39.66%,58,
Pw:Aa X Mlp:Fim - Elements Of Justice ~ Turnabout Theatre (Case 1) [Part 3/3],22,37.93%,58,
Scootertrix The Epilogue: Two Weeks Later,21,36.21%,58,
Sea Of Voices [Pmv],20,34.48%,58,
Hearth Warming Night [ Mlp Stop-Motion ],16,27.59%,58,HM
【Mlp】The Clocktower Preview,12,20.69%,58,HM
Christmas In Ponyville 2,11,18.97%,58,HM
All Of The Derpy || Mlp:Fim,7,12.07%,58,
Jingle Bliss Rock Ft. Crusader And Finnthepony,6,10.34%,58,
Sunburst'S Secret Mission ☀️,5,8.62%,58,
Once Upon A Time [Sound Doodle 🎵],5,8.62%,58,
"Sonic Goes To Idw - Christmas Special (Ft. Twilight Sparkle, Rainbow Dash, Mane 6)",4,6.90%,58,
Sunset Shimmer'S Brother ☀️,4,6.90%,58,
Tiny Wag Time! (Furret Walk Parody),4,6.90%,58,
Reign Of The Sun - Chapter 1 - The Lonely Throne,3,,58,
After The Fact: Pinkie Pie The Fool,3,,58,
Titanium Pmv Collab,3,,58,
Sunburst'S Secret Mission,3,,58,
Can I Come In (Sfm Animation),3,,58,
Fighting Again?! [Mlp Fan Animation],3,,58,
Alushy Meet Twilight (Sfm Animation),3,,58,
Pinkamena'S Monster || Mlp Meme [Bilibili Repost See Desc],2,,58,
(Pmv Colllab) Pony Kind Of Christmas!,2,,58,
"Princess Luna'S ""Nay"" Song",2,,58,
[Mini Pmv] Delta,2,,58,
Sunburst’S Secret Mission ☀️,2,,58,
Mlp Fandub: Good Morning By Raenyvisualz,2,,58,
Flawless (Sawtooth Remix),2,,58,
Avast Princess Luna'S Ass,2,,58,
[Pmv] All That'S Left Is Love,2,,58,
Allen Walker | Dark Side | Pmv,1,,58,
Rainbow Connection [Animation],1,,,
"Everything Wrong With My Little Pony: Pony Life ""A Camping We Will Go""",1,,,
Dwna Christmas Special: Peril Of The Bells,1,,,
Everything Wrong With Starlight The Hypnotist,1,,,
"""Workaholics Anonymous: Princess Luna"" Comic Dub (Comedy)",1,,,
My Little Pony The Final Season Opening (Aot Ss4 Op Pony Parody),1,,,
A Buck To The Face - The Perfect Pear,1,,,
Turnabout Storm Redux Episode 1 - Rainbow Dash,1,,,
Punishment Game || Mlp Animatic || Pinkamena Vs Rainbow [Bilibili Repost],1,,,
[Mlp Comic Dub] Adorkable Twilight In 'Rainy Day' (Comedy),1,,,
Humbug (Stick Pony Animatic/Musetrip 💚💙 ),1,,,
Happy Hearth'S Warming!!!,1,,,
Mlp:Fim Snowdrop Pmv/Tribute ~ Wide Awake,1,,,
Why I Like Pony Life!!,1,,,
Burning Axe Chronicles: Episode 0 - Prologue,1,,,
Pony Gift Animation - Fancy Sprinkle [Blender Animation],1,,,
Mlp Pmv - Gotta Go Fast (Sonic X Theme Song),1,,,
Fluttershy'S Favorite Seat (Mlp Animation) (Gas),1,,,
Mlp】The Clocktower Preview,1,,,
The Opera Phantom Discord- Ep 1 (Fluttercord Audio Drama),1,,,
Power Ponies Go! - Official Music Video,1,,,
Wall-E On Gameboy (Ft. Roundtrip),1,,,
Good Morning,1,,,
My Little Pony Cut Episodes,1,,,
Goodbye 2020 Memes,1,,,
Discovery (Pony Sfm),1,,,
Dashing Through The Snow [ Mlp Sfm] [Sfm Ponies],1,,,
Разноцветные Кобылы Поют И Танцуют Под Польскую Народную Песню На Протяжении 1 Минуты И 50 Секунд,1,,,
Pinkamena Fantasize || Mlp Meme (Ft. Rainbow Factory Dash),1,,,
