Princess Twilight Sparkle,31,75.61%,41,,,
[Sfm\Pmv] My Russian Pony: Combination - American Boy,27,65.85%,41,,,
Ponytown Animation: An Unknown Past,21,51.22%,41,,,
Bronies React: The End Of My Little Pony G4 (The Last Problem),20,48.78%,41,,,
[Mlp Sfm] Disconnected Full Animation,17,41.46%,41,Tie determined randomly by computer,,
Get Your Wish [Pmv],17,41.46%,41,Tie determined randomly by computer,,
Just Reminiscing (Pmv),14,34.15%,41,,,
[Pmv] Butterflies & Hurricanes,11,26.83%,41,,,
The Coronavirus Outbreak As Portrayed By Little Ponies,10,24.39%,41,,,15.ai Honorable mentions
Health Tips From The Stickquestria Grils,9,21.95%,41,,,Fluttershy reads the Bee Movie Script (TTS by 15.ai)
"What's ""Hello Pinkie Pie""?",15,36.59%,41,"Too short for list, HM",,Rats but it's Pony
Ponyrama 2.0,7,17.07%,41,,,Twi and Pie: A Motion Comic Dub made with 15.AI
Rats But It'S Pony,6,14.63%,41,,,Twilight Orders a Burder
[Sfm Ponies] Hard To Adapt,6,14.63%,41,,,dobonhonkeros
"Tf2 Analysis: ""Mercenary Melodies""",4,9.76%,41,,,
[Sfm] Crayon Little Pip - Fallout Equestria,4,9.76%,41,,,
Ufp 96: Old Rocky,4,9.76%,41,,,
"Old 3D Animation ""Never A Bad Idea""",4,9.76%,41,,,
Diamond'S Birthday Buffet,3,7.32%,41,,,
Why Celestia Turned Evil [Daybreaker],2,4.88%,41,,,
"Amwdw Maddy And Mary ""Best Patient Ever!""",2,4.88%,41,,,
"Wait, Who'S Walking In Dreams Now?",2,4.88%,41,,,
[Pmv] Cut My Hair (This Is Home),2,4.88%,41,,,
【Mlp/Meme】A New Beginning（2019.Oct 5Th）,2,4.88%,41,,,
Cursed Pony Magic: Angel Bunny,2,4.88%,41,,,
Louder Than Word (Pmv),2,4.88%,41,,,
It'S Scootaloo!,2,4.88%,41,,,
My Little Pony Kiss The Girl Fan Made Animation Cadance And Shining Armor Parody,1,2.44%,41,,,
Disconnected Full Animation,1,2.44%,41,,,
The Last Adventure: Alone Again (Original Song),1,2.44%,41,,,
Pony Ai - Twilight Ubers Fluttershy Gone Wrong,1,2.44%,41,,,
"Watchful Watchings: Twilight Sparkle: A Journey Of Magic, Heroism, And Friendship",1,2.44%,41,,,
Top 10 Mlp Characters Who Could Survive The C-Virus,1,2.44%,41,,,
Animation/ Animatic Music Clips,1,2.44%,41,,,
Запах Сирени [Mlp Sfm] [Sfm Ponies],1,2.44%,41,,,
My Little Pony Puzzle Party,1,2.44%,41,,,
Mlp:Fim By Light262 - Tribute - End Of Time,1,2.44%,41,,,
[Ytpmv] Starlight Glimmer Goes Shopping Again,1,2.44%,41,,,
๑۩╬═ ♡- Russian Girl-♡ ═╬۩๑-- Pmv,1,2.44%,41,,,
Midnight Mares Animatics 3,1,2.44%,41,,,
My Little Pony: Friendship Is Magic Season 9 Power Levels,1,2.44%,41,,,
