What Is Australia? [Animation],26,83.87%,31,
Kda-Popstars [Sfm/Re-Creation],24,77.42%,31,
Man Versus Ponies 3 (Mlp In Real Life),23,74.19%,31,
Glomps #1 | Evil Partner,14,45.16%,31,Tie determined randomly by computer
[Pmv] Son Of Man,14,45.16%,31,Tie determined randomly by computer
Mlp||Legacy(Demo Version),11,35.48%,31,
Brony 2019,9,29.03%,31,
10 Years Of My Little Pony [Pmv],8,25.81%,31,
[Mep] Pop Star Giants [Pmv] | •✧❆Winter Mep❆✧• ₂₀₁₉,5,16.13%,31,
Bronycon 2019 (This Can'T Be All),4,12.90%,31,
Grogar'S Demise,3,9.68%,31,HM 2/3
Cursed Pony Magic: Big Mac,3,9.68%,31,
The Pegasus Princess Episode 2- The Special Ceremony (Mlp Audio Drama),3,9.68%,31,
Applejack Middle,3,9.68%,31,
Mlp - The Necessity Of Chivalry,2,6.45%,31,
One Second Of Spike From Every Episode Of Mlp,2,6.45%,31,
"I Give Up, Heres The Unfinished Dayman Animation",2,6.45%,31,HM 1/3
My Little Pony And The Skylanders Pmv Counting Star,1,3.23%,31,
Acceptance The Abridged || Episode 1 Of 2,1,3.23%,31,
One Second Of Starlight Glimmer From Every Episode Of Mlp,1,3.23%,31,
King Sombra - Be Prepared 2019 (Pmv),1,3.23%,31,
Brony Polka Animated - Comprehensive Comparison Vide,1,3.23%,31,
"[Sfm] Stamp On The Ground (100,000 Subscriber Special)",1,3.23%,31,
Pmv] Sunny Side Of The Moon,1,3.23%,31,
Brony Polka Animated - Comprehensive Comparison Video,1,3.23%,31,
Glomps #1| Evil Partner,1,3.23%,31,
Pmv | This Is War,1,3.23%,31,
Pmv - The Change + Announcement,1,3.23%,31,
Frozen 2: All Is Found; Pmv,1,3.23%,31,
Out Of My Mind,1,3.23%,31,
Ponytown....I Think...,1,3.23%,31,
The Cutie Re-Mark - Mlp: Fim (1917 Trailer 1 Style),1,3.23%,31,
Opinions || Animation Meme,1,3.23%,31,
[Metal Pmv] Equestrian Bitches,1,3.23%,31,
[Ponified Parody] Friends | Google Super Bowl Commercial 2020,1,3.23%,31,HM 3/3
With Everything Left In My Heart,1,3.23%,31,
[Pmv] Sunny Side Of The Moon,1,3.23%,31,
Whatever It Takes Pmv [Season 9 Finale Spoilers],1,3.23%,31,
Derpy Being Cute - (Mlp Animation),1,3.23%,31,
Mlp|| Legacy(Demo Version),1,3.23%,31,
Bad Script Readings - Mlpfim - Nightmare Moon - Animation,1,3.23%,31,
Cursed Pony Magic:Big Mac,1,3.23%,31,
[Sfm Ponies] Shift Shaping Madness,1,3.23%,31,
