Choose Your Wings [Animation],33,82.50%,40,Tie determined randomly
Sombra's New Groove,33,82.50%,40,Tie determined randomly
Different View Of Ending [ Episode 2 ],20,50.00%,40,
PonyTaker,19,47.50%,40,
Blazing Equestria,18,45.00%,40,
【Pirl+Pmv】Together From Afar,14,35.00%,40,
[Pmv] Killer Queen,13,32.50%,40,
A Transmission From Equestria,11,27.50%,40,Tie determined randomly
Tacos On The Moon,11,27.50%,40,Creator already placed higher on list
Pinkie Pie's Clone 🎈🎈,10,25.00%,40,Tie determined randomly
All Of The LyraBon || Mlp:Fim,10,25.00%,40,Tie determined randomly
Valentines Day Gift For The Mane Six Hearts & Hooves Day [Mlp Sfm],9,22.50%,40,
Mlp: Rip And Tear Edition - Trailer [Animation] [Mlp:Fim],5,12.50%,40,HM
One Day With Reformed Changelings,4,10.00%,40,
Ducktales Vhs,4,10.00%,40,
Destiny (Pmv Lyrics),4,10.00%,40,
Ufp 102: Uncivil War,3,7.50%,40,
Pmv: Frozen - Vuelie,3,7.50%,40,HM
Round 7 - Silver Quill Meme Attack,3,7.50%,40,
Strobe [Ytpmv],3,7.50%,40,
All Of The Lyra Jumping || Mlp:Fim,3,7.50%,40,
Choose Your Wings,2,5.00%,40,
"""Workaholics Anonymous: Thankless Jobs"" Comic Dub (Comedy)",2,5.00%,40,
[Mlp/Pmv] I See A Dreamer | Rainbow Dash Pmv,2,5.00%,40,
Doctor Whooves And Assistant [Ep 13] What Frightens The Fearless,2,5.00%,40,
Ufp 102 Uncivil War,1,2.50%,40,
Does Equestria Girls (2013) Hold Up? | Equestria Girls Retrospective Part 1,1,2.50%,40,
Starlight Is In Royal Trouble,1,2.50%,40,
Dear Pinkie Pie: Cheese Sandwich'S Best Friend,1,2.50%,40,
Pmv - Hope Shines Enternal,1,2.50%,40,
All Aboard,1,2.50%,40,
Rainbow Rocks Is The Best One | Equestria Girls Retrospective Part 2,1,2.50%,40,
The Perfect Date,1,2.50%,40,
After The Fact: Mlp #94,1,2.50%,40,
Derpigun Does A Thingy,1,2.50%,40,
The Malt Shop Stache - Boast Busters Rtf,1,2.50%,40,
Memoria (Vpm) / Memory (Pmv) (English Subs),1,2.50%,40,
Don'T Be Meme Animation [Mlp Sfm] [Sfm Ponies],1,2.50%,40,
Applejack'S Feats Of Strength (Top 5),1,2.50%,40,
Equestria Girls: Cafeteria Song; Pmv,1,2.50%,40,
Mlp Mulan (Complete) - Audio In Description,1,2.50%,40,
Jyc Row - Lunar Rebellion Dialogue Animation,1,2.50%,40,
