Flurry's Part ❄️💙 (Feat. Vylet Pony) [Pmv],26,66.67%,39,
Brony 2020,18,46.15%,39,
"Mlp Fluttershy Sings ""When The World Was Mine"" Animatic",17,43.59%,39,Tie determined randomly
Silhouette [Pmv],17,43.59%,39,Tie determined randomly
Bat Horses Can't Get Fallout Pie,15,38.46%,39,Tie determined randomly
🥧Muffin Pony🥧,15,38.46%,39,Tie determined randomly
My Russian Pony - Queen Of The Dance Floor,11,28.21%,39,Tie determined randomly. Votes added from russian titled version.
Heroes Will Rise - Fallout Equestria Turntable,11,28.21%,39,"Older reupload, also doesn't really qualify as a video."
All Of The Dj Pon-3 || Mlp:Fim,10,25.64%,39,Tie determined randomly
Twilight Sparkle Cheering You Up! [Mlp Sfm],10,25.64%,39,Tie determined randomly
Pmv | I Needed To Lose You To Love Me,8,20.51%,39,Tie determined randomly
[Sfm] Tiktok Pony Dance,8,20.51%,39,Tie determined randomly
Celestia Does The Healthy Dance With You (Turn On Subs Plz),6,15.38%,39,HM [Mention older upload]
Pmv | A Thousand Miles,5,12.82%,39,
Morning With Rarity And Sweetie Belle Mlp:Fim [Animation],5,12.82%,39,
The Enchanted Library - Pmv,5,12.82%,39,
Pmv Dark,5,12.82%,39,HM
My Russian Pony - Королева Танцпола,4,10.26%,39,added these 4 votes to english title's.
"Amwdw Firebrand And Aramau ""How To Know When You'Re ""Ready"" For A Big Decision""",4,10.26%,39,
Daring Do And The Quest For The Golden Blox,4,10.26%,39,
Para Collaboration - Reel,3,,,
"Mlp:Fim [Pmv] Rainbow🌈Dash - Tribute 7 - You’Re Gonna Go Far, Kid",3,,,
"Introducing A Non-Brony To ""My Little Pony""",3,,,
Far || Mlp Animatic || Fluttershy 💛 Discord,3,,,
Lightning Bliss Website Annoucement,2,,,
Mlp Oc Animation - The Princess Of Understanding,2,,,
Animatic - What Would Twilight Sparkle Do ? [Wip],2,,,
Friendship Is Eternal - Mlp:Fim [Animation],2,,,
Exploring The My Little Pony Iceberg,2,,,
Pony Asmr Trixie The Great And Powerful… Librarian? [Mlp],2,,,
After The Fact: Mlp #94,2,,,
Russian Dancing Ponies,2,,,
Yoshi Greenwater Animated Shorts Collection,2,,,
[Mlp Comic Dub] Usb (Comedy/Anon In Equestria),2,,,
Mlp Fluttershy Sings “When The World Was Mine” Animatic,1,,,
Under Our Spell But It'S Also Just Dance,1,,,
Sweet But Psycho [Mlp Animation Meme] Fluttershy And Discord,1,,,
This In A Nutshell (Happy 4Th Anniversary),1,,,
Marvel | Civil War Ponified Trailer,1,,,
My Little Pony - Art Of The Dress (Germanic Multilanguage),1,,,
🌅 Sunset Shimmer'S Biggest Mistake...,1,,,
Hi Im Drafs Mannulus,1,,,
The Mane Six: The Musical (Pmv/Medley),1,,,
The Sparkle Siblings (Animatic) || Mlp,1,,,
Weet But Psycho [Mlp Animation Meme] Fluttershy And Discord,1,,,
[Sfm] Torta :D,1,,,
We Ship My Little Pony With A Cast Reunion Plus Bella & Billy Bob Thornton - Part 2 Of 3,1,,,
Let’S Go... Luna..? (Sfm Ponies),1,,,
Finally Solving The Royal Guard 🛡️,1,,,
On My Way - Pmv,1,,,
