The First Starlight,36,92.31%,39,
Animation - FLIGHT - Scootaloo Sings [PMV] (MLP),27,69.23%,39,
MLP RPG,25,64.10%,39,
ANTONYMPH (Official Music Video) » EPILEPSY WARNING,22,56.41%,39,
RAP BATTLE: Sunset Shimmer vs Starlight Glimmer!,19,48.72%,39,
Apples For Applejack,17,43.59%,39,
How Chrysalis Took Over Equestria,16,41.03%,39,
Baby Luna's Banishment,15,38.46%,39,HM; reminder to vote for only one per creator.
PrinceWhateverer - Remember Me MLP Music Video [Starlight & Sunburst SFM],15,38.46%,39,
All of the Octavia || MLP:FIM,14,35.90%,39,
Back From Work - Remake,13,33.33%,39,
Dr. Fluttershy,10,25.64%,39,
Forget || Twilight X Sunset Animatic || 💜 Is ❤️,6,15.38%,39,HM; Reminder not to vote for old videos.
[Sfm] Scootaloo's Dream,5,12.82%,39,HM
Everypony Has Arrived! ポニーがやってきたぞっ！,5,12.82%,39,
Lgbt+ Headcanons/Ships In Mlp (And Why I Just Think They'Re Neat),4,10.26%,39,
[Sfm] Dalek Develops Emotions,4,10.26%,39,
New Mlp G5 Movie Trailer Be Like,4,10.26%,39,
How Twilight Sparkle Became A Princess ⚠ Loud! ⚠,3,7.69%,39,
"""Mother Knows Best!"" Comic Dub (Comedy)",3,7.69%,39,
[Pmv] Hit And Run,3,,39,
All Part Of The Act - Comic Dub Animation,2,,39,
Baby Luna’s Banishment,2,,39,
How Cadance And Shining Met 🛡️💙,2,,39,
Twilight Sparkle And Rarity Brushing Each Others Mane,2,,39,
Your Heart Is In Two Places (Sawtooth Remix),1,,39,
Dear Little Breezie Animatic,1,,39,
[Mlp Comic Dub] Heart Attack Crusader (Saucy Comedy),1,,39,
Unnatural Pony Dancing | My Little Pony G3,1,,39,
Transmission From Chs (Animation By Gatlingun101) Featuring Rebecca Shoichet!,1,,39,
Applejack || Old Town Road,1,,39,
Have You Ever Had A Dream...(Mlp Animation),1,,39,
My Little Pony Edits #20,1,,39,
Five Nights At Aj'S - Five Nights At Freddy'S 4 [Miatriss] [Mlp Fnaf] [Mlp Sfm],1,,39,
Why I Love Villains Review,1,,39,
Equestria Girl Out Of Context Part 2,1,,39,
Musician Reacts To A Kirin Tale (Sounds Of Silence),1,,39,
Horsey Groove Battle,1,,39,
[Pmv] Doja Cat / Rainych - Kiss Me More (Japanese Version),1,,39,
"Every Time Rarity Says ""Spike"" | My Little Pony: Friendship Is Magic",1,,39,
Rise Like A Phoenix - Jff Cover - Pride Month Tribute,1,,39,
The Greatest Show,1,,39,
Frankenstein Musical | Birth To My Creation,1,,39,
This Shower Aria,1,,39,
U Got That Meme || Villain Ponies Mlp,1,,39,
“Mother Knows Best!“ Comic Dub (Comedy),1,,39,
"""Silence"" (A Fluttershy Song) Ashleyh",1,,39,
My Little Pony Meme Compilation #11,1,,39,
Hyperblitz Fancam (Linkin Pony),1,,39,
Business | Pmv,1,,39,
Ace Analyst: The Mlp Movie Prequels Review/Analysis,1,,39,
Rap Battle: Sunset Shimmer Vs Starlight Glimmer,1,,39,
Is This The Forgotten Friendship Lesson? - Yay Or Neigh: Griffon The Brush-Off Review,1,,39,
