Sunny meets Twilight!!! (Animation),53,65.43%,81,
New Pony Worlds,51,62.96%,81,
If Other G4 Ponies Left Messages In The Unity Crystal,41,50.62%,81,
MISTY'S FAILED ATTEMPTS - MLP G5 Fan Animation,37,45.68%,81,
Friendship is Musical VGM #4,34,41.98%,81,
What If... Fluttershy Was A Princess? [Animatic],28,34.57%,81,
Pony Ghost Hunt Live,26,32.10%,81,Tie determined randomly by computer
Baby Time,26,32.10%,81,Tie determined randomly by computer
Elements Of Justice ~ Crusading For A Turnabout (Case 2) [Ep 7 - Trial],25,30.86%,81,
Fallout Equestria - Prologue,23,28.40%,81,
Bronies React: My Little Pony G5 - Make Your Mark (Chapter 1),20,24.69%,81,HM
It´s just Sweetie Belle || MLP:FIM [Animation],15,18.52%,81,
Bad Advice For Brony Youtubers,13,16.05%,81,HM
Twilight Sparkle Talks About Sea Shells,10,12.35%,81,
Mlp Villain Walk || Dr. Livesey Phonk Walk Meme [By 青扬桦钙],9,11.11%,81,
When Twilight Comes Back In G5,9,11.11%,81,
【𝙋𝙈𝙑/𝟰𝙆】𝘾𝙡𝙤𝙨𝙚𝙧 𝙏𝙤 𝙈𝙚,9,11.11%,81,
Bronypalooza 2013: The Brony Rave That Nearly Went Fatal,8,9.88%,81,HM
Bon Bon's Beauty,7,8.64%,81,
[Mlp Animatic] I Had A Dream... [By 杜宾Tae],6,7.41%,81,
"How Bronies Reacted To Make Your Mark Chapter 2, Episode 1 (Izzy Does It)",6,7.41%,81,
[Pmv] Carried Home,6,7.41%,81,
Bonds Of Justice ~ Story #3 - Guard Duty,5,6.17%,81,
Mlp Make Your Mark 2 In A Nutshell,5,6.17%,81,
Sparky'S First Words,5,6.17%,81,
I Searched 'My Little Pony' On Google Maps,5,6.17%,81,
The Other Equestria Girls Movies...,4,4.94%,81,
Sunny Starscout Getting Petted [Mlp Sfm],4,4.94%,81,
A Moment With Euphoria (A Channel Special),4,4.94%,81,
Twilight Gets Mcdonald'S For Lunch,4,4.94%,81,
Twilight Drinks A Dr. Pepper,4,,,
The Story Of The First My Little Pony Video On Youtube...,4,,,
We Will Always Be With You! [Mlp Fan-Animation],3,,,
Menacing Misty,3,,,
"Tf2 Analysis: ""Let'S Get Down To Business"" (Part Two)",3,,,
California Gurls Chad Dance (Mlp Extended Edition),3,,,
The Crystals Are Worse Than You Think!,3,,,
Pinkie'S Spa Day (Rough Animatic),3,,,
R/Place Brony Deep Dive: My Little Pony'S Story Of Survival,2,,,
4Everfreebrony - Bright Eyes (A Wonky Anthem) [Original By @Ponky Piano & @Lookoutlondon],2,,,
We Will Always Be With You!,2,,,
It'S Just Sweetie Belle || Mlp:Fim [Animation],2,,,
Everything I Love About G5!,2,,,
History Repeats: Episode 03 - Empty Inside [Full Cast Audio Drama],2,,,
What If... Fluttershy Was A Princess?,2,,,
Out Of Our Manes Featuring Special Guest Ambizar,2,,,
Underused My Little Pony Characters And How To Fix Them,2,,,
All That Jazz [Tyt Trashpost],2,,,
That Moment When Izzy Moonbow,2,,,
"Derpy, The Time Traveler (Mlp Theory)",2,,,
Cozy Glow Fans Basically,2,,,
[Mlp Animatic] Pinkie'S Meow Meow Milk (ฅ^Ω^ฅ) [By Geniality_和煦],2,,,
The True Story Of How Applejack'S Parents Died,2,,,
Mail It In - Animatic,1,,,
Bronypalooza2013: The Brony Rave That Almost Went Fatal,1,,,
Lements Of Justice ~ Crusading For A Turnabout (Case 2) [Ep 7 - Trial],1,,,
The Adventure Of The Mane 6 - S01E01 - The Porridge Party (Fanmade Episode),1,,,
Sunny Meets Twilight,1,,,
Ace Attorney Elements Of Justice 2-7 100Ks,1,,,
Elements Of Justice ~ Crusading For A Turnabout (Case 2)[Ep 7 - Trial],1,,,
The Mythological Inaccuracies In Mlp Ep 1,1,,,
Baby Time By Argodaemon,1,,,
《My Little Dark Stars》（Mlp）（A Pony Creator Short Movie）,1,,,
Free Of Heights - Mlp G5 (Zipp Storm Fan Song),1,,,
[Sfm] Boomx4 Angel'S Room | Animation Meme,1,,,
Mark Your Way,1,,,
Bonds Of Justice ~ Story#3 - Guard Duty,1,,,
This New My Little Pony Is Concerning By Saberspark,1,,,
Sandblast Starlight (Pmv),1,,,
Fluttershy'S Sad Cat Dance Meme,1,,,
[Sfm\Cs:Go] My Russian Pony - Fighter,1,,,
Sombra N Chryssie Got In Trouble || Mlp Animatic [By Keki嗝],1,,,
Everydaydashie - The Moon Represents My Heart 月亮代表我的心 (Mlp Edm Remix),1,,,
Bronies React: My Little Pony G5- Make Your Mark (Chapter 1),1,,,
Twilight'S Ominous Message! (Make Your Mark Review),1,,,
A Story Told - [Talknet Cover],1,,,
Shrunken Vanilla Beam And Celestia | Macro/Micro Mlp Animation,1,,,
The My Little Pony Programming Language,1,,,
Fluttershy Smiles,1,,,
History Repeats: Episode 3 - Empty Inside [Full Cast Audio Drama],1,,,
Completely Serious Analysis: “Rarity And The Curious Case Of Charity”,1,,,
Did Netflix Ruin My Little Pony By Tootsie4Ever,1,,,
Cinemare Sins: Everything Wrong With Where The Apple Lies,1,,,
Who Is She? Mystery G5 Alicorn Theory,1,,,
Explaining The Biggest My Little Pony Iceberg,1,,,
Kiss Me,1,,,
The New My Little Pony Is Concerning… (Don'T Judge Me),1,,,
The Adventure Of The Mane 6 - S01E04 - The Storm (Fanmade Episode),1,,,
Goats,1,,,
Out Of Our Memes! (Featuring Singlehoof),1,,,
Why You Hate G5 By Quantumhippologist,1,,,
Elements Of Justice ~ Crusading For A Turnabout (Case 3) [Ep 7 - Trial],1,,,
Love Story • Taylor Swift • Pmv • Bright Mac And Pear Butter,1,,,
Coach And Ellis Pony Adventures: 2 (Censored) 🍃,1,,,
2 Minute Workout Guaranteed To Make Your Little Pony Fit ❤️,1,,,
Friendship Is Tagic 2: A Tale Of Two Princesses- Trailer [Full Cast Audio Drama],1,,,
After Dark [Pmv],1,,,
Pl 0:02 / 0:48 It´S Just Sweetie Belle || Mlp:Fim [Animation],1,,,
Snowdrop,1,,,
Penguins And Rabbits,1,,,
History Of Equestria According To G5???,1,,,
The Story Of The First My Little Pony Video On Youtube By Shunks,1,,,
Izzy'S Lullaby - Mlp G5 Fan Animation,1,,,
[Pmv] I'M Here ~ My Little Pony: Make Your Mark,1,,,
"Brony Steals Airplane, Then His Fuel Runs Out...",1,,,
4Everfreebrony & Bluebrony - What Went Wrong (Original By The Wonderbolts),1,,,
My Little Pony 15.Ai Is Magic #41 - Duel Masters,1,,,
Rainbow Dash My Beautiful Pony Pegasus Ever,1,,,
Lifelike (Pmv),1,,,
4Everfreebrony - Imperfection (Original By @Bluebrony),1,,,
Sins Of The Past | Mlp Animation | Fandub Español Latino,1,,,
Ace Attorney Elements Of Justice 2-8,1,,,
[Sfm] A Normal Day,1,,,
The Ponies Of R/Place - Efnw 2022,1,,,
G5 Alicorn Villain In G4 || Mlp:Fim [ Animation],1,,,
Sweetie Bell'S Testimony,1,,,
The_Snake_Skin蛇皮 - The Pony With A Hundred Faces (Official Video),1,,,
Bronies React: My Little Pony G5 Make Your Mark (Chapter 1),1,,,
When You'Re A Filly,1,,,
Testifying In Court For Good Luck,1,,,
[Mlp-G4-Meme手书动画] 反派们征服小马国的珍贵录像,1,,,
Pony Plushies But Awesome,1,,,
Villain Wip || Mlp / Sciset Animation,1,,,
A Colt Classic,1,,,
Beautiful Ponies Ever And Princess Twilight Sparkle Smiles At Me Too,1,,,
Funkin' Is Musical 1 (Preview!),1,,,
Bat Ponies Invade Ponyville,1,,,
Fluttershy And A Bird Thing,1,,,
What If… Fluttershy Was A Princess? [Animatic],0,,,
