The Magic Argument,37,74.00%,50,
Detective Pinkie Pie [Animation],35,70.00%,50,
Ponies The Anthology Update 7.314,34,68.00%,50,
The Journey Once More | Part I: From Beginning To End,33,66.00%,50,
Princesses Know How To Kickflip (Sfm Ponies),30,60.00%,50,
Flutterska Animation,26,52.00%,50,
Discord - Eurobeat Brony (The Livingtombstone Remix)| Animated Music Video,19,38.00%,50,
Bronies React: My Little Pony G5 - Bridlewoodstock,15,30.00%,50,Tie broken by Random.org
Italians,15,30.00%,50,Tie broken by Random.org
Outliving Your Friends - The Amazing Digital Circus [Sfm],14,28.00%,50,
🫥🎉💛👌乃ㄥ𝐨𝓌 ❻➅６ 🤡🤏😝😈,11,22.00%,50,"HM, one vote added from typo listed below."
Five Nights At Pinkie'S: Equestria After Dark [Sfm Ponies],10,20.00%,50,
[YTP] Friendship is Worthless - Part 1,10,20.00%,50,"HM, votes for part 2 combined."
[Sfm] [Mlp / Doctor Who] Twice Upon A Friendship,9,18.00%,50,
How Big A Brony Are You? 2!,8,16.00%,50,
"Thorax Quietus, Molten Spike Arc Finale Animatic",7,14.00%,50,
Twilight Reunites (Cringe Mlp Blender Animation),7,14.00%,50,HM
[Ytp] Pony Girl Rejected Version,5,10.00%,50,
Rainbows Hd,5,10.00%,50,
Waiting In The Wings My Little Pony Animatic [Commission],5,10.00%,50,
20 Minutes Of Useless Information About My Little Pony,4,8.00%,50,
Princewhateverer - Alr3Ady D3Ad (Destabilize Pt.4B),3,6.00%,50,
Better Call Trixie [Anthology Short],3,6.00%,50,
All Fun & Games (Mlp In Real Life),3,6.00%,50,
[New!] What If The Mane 6 Were Princesses? [Pony Animation] [Compilation],2,4.00%,50,
Twilight Meets Twilight Mini-Episode,2,4.00%,50,
Bed Time [Anthology Short],2,4.00%,50,
Eve (Mlp Animation),2,4.00%,50,
Glaciem Fights Nightmare Moon | Animated Commission For @Princeglaciem363 | Mlp Animation,2,4.00%,50,
Is Rainbow Dash An Alcoholic?,2,4.00%,50,
Lonely Pony Keeps Trying To Get Your Attention,2,,,
That Fanfic Story About The Guy Who Adopts Rainbow Dash (My Little Dashie),2,,,
My Little Translations (Google Translate Mlp) Episode #2 - The Return Of Night Vision! (Part 2),1,,,
Thorax' Quietus,1,,,
A Royal Scare (Sfm Ponies Short),1,,,
Tirek'S Ramblings Volume #2,1,,,
Maud Pie Sings Stuck Inside Your Head Ii Mlp Amv,1,,,
Twilight'S Realization,1,,,
Mlp - Cupcakes: Interrogation,1,,,
Princewhateverer: Enemy Undefined (Sfm Ponies) [Animation],1,,,
Brony Collection Tour,1,,,
Five Nights At Pinkie'S: Equestria After Dark,1,,,
Ponies The Anthology 7.314 : Opera Duck (4K),1,,,
Gta Ponies Loading Screen | Ponysfm Animation,1,,,
Human Pomni (Digital Circus Parody),1,,,
The Plagues-My Little Pony Oc Animatic [Syncing Harmony],1,,,
Meant To Be (Mlp Animatic | Eclipse Of Harmony),1,,,
Is Friendship Games Better Than We Thought?,1,,,
Twilight Meets Twilight Mini Episode,1,,,
Our Little Rainbow Music Video,1,,,
Outliving Your Friends,1,,,
Specky'S Mistake | Ponysfm Animation,1,,,
"Tf2 Analysis ""Exercise Race Day""",1,,,
Detective Pinkie Pie,1,,,
A Royal Scare,1,,,
Cheerilee Likes Cider,1,,,
🎉💛👌乃ㄥ𝐨𝓌 ❻➅６ 🤡🤏😝😈,1,,,Added one vote to video
Spooky Pumpkin Song,1,,,
[Epilepsy Warning] Mlp X Phigros⚡️+Eraby+E Connec+10N⚡️[By 糖磷Sparkandy],1,,,
