"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,4,"1","A Changeling's Love","https://www.youtube.com/watch?v=aGxyYEnlFWo",33,44,""
2024,4,"2","PrinceWhateverer - WND3RBLT (Ft. Brittney) MLP ANIMATION","https://www.youtube.com/watch?v=m_aSVIWBmls",25,44,"Tie broken by random.org"
2024,4,"3","My Tiny Pony - Celestia","https://www.youtube.com/watch?v=P-6Ne3MZlL0",25,44,"Tie broken by random.org"
2024,4,"4","Where Are We: You Need Variety","https://www.youtube.com/watch?v=626BLEfM7eI",19,44,"Tie broken by random.org"
2024,4,"5","MLP G5 Animatic ""Butterfly Effect""","https://www.youtube.com/watch?v=ZUCIs9xmKrs",19,44,"Tie broken by random.org"
2024,4,"6","Creative Block","https://www.youtube.com/watch?v=KEjdHPp79mo",18,44,"Tie broken by random.org"
2024,4,"7","HIS NAME IS MAKARONI","https://www.youtube.com/watch?v=KeR2JKmgWq4",18,44,"Tie broken by random.org"
2024,4,"8","Freak","https://www.youtube.com/watch?v=EKOyTAQ6TQQ",17,44,""
2024,4,"9","[YTP] Elementally Unstable","https://www.youtube.com/watch?v=we8HlKjNuio",16,44,""
2024,4,"10","Wings Of Steel | My Little Pony FiM fan film","https://www.youtube.com/watch?v=O2UEU6oiiJM",14,44,""
2024,4,"HM","Hugging Ponies","https://www.youtube.com/watch?v=xY52PyDEV2I",16,44,"Creator already placed higher on list"
2024,4,"HM","[3-3] Ace Attorney: Elements of Justice ~ A Gleam of Uncertainty","https://www.youtube.com/watch?v=sgePocmwb8k",13,44,""
2024,4,"HM","The Legion Of Doom Do Not Deserve Reformation","https://www.youtube.com/watch?v=eTAOv-_SmBQ",13,44,""
