"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,8,"1","My Little Romance - Into Ships (Ft. Thrack) [MLP Parody]","https://www.youtube.com/watch?v=HHzGKRIG7SE",28,47,""
2024,8,"2","Where Are We: Begging 4 U","https://www.youtube.com/watch?v=_j1qTYhvfzs",27,47,""
2024,8,"3","The Seven Sins (part 2) [Animation]","https://www.youtube.com/watch?v=dPAnxbdpQ84",25,47,""
2024,8,"4","Hippogriffs Animated (Ft. My Little Romance)","https://www.youtube.com/watch?v=ZjNKAZeaUX8",18,47,"Tie broken randomly by computer"
2024,8,"5","PROLOGUE | Heroes of Destiny [Animation]","https://www.youtube.com/watch?v=ZJvvzLaVuKY",18,47,"Tie broken randomly by computer"
2024,8,"6","Izzy Sings Champagne Drip - Me and You","https://www.youtube.com/watch?v=DuCrX4EYSig",15,47,""
2024,8,"7","Cupid [PMV]","https://www.youtube.com/watch?v=kxyAWOcYXwc",14,47,"Tie broken randomly by computer"
2024,8,"8","Pyrrhic Victory","https://www.youtube.com/watch?v=LaaseDL-bag",14,47,"Tie broken randomly by computer"
2024,8,"9","Welcome to the Trixie era","https://www.youtube.com/watch?v=5SEOo5o0mTg",13,47,""
2024,8,"10","【小马宝莉/自制动画】序蝶，一款跨越世代的大刀","https://www.youtube.com/watch?v=aY6t0TdmQ7A",12,47,"Tie broken randomly by computer. Billibilli original: https://www.bilibili.com/video/BV1vCYWeqESD/"
2024,8,"HM","WONDER ✨(Startrix Song) // PMV","https://www.youtube.com/watch?v=GPBmQIJU7jE",12,47,"Tie broken randomly by computer."
2024,8,"HM","LUDICROSS Indie Animated Pilot","https://www.youtube.com/watch?v=iCc3USEfJMg",11,47,""
2024,8,"HM","Paper Derpy's First Movie -Chapter 7-","https://www.youtube.com/watch?v=2dq1dFg9MN0",11,47,""
2024,8,"HM","ZIPP STORM EMOTES (Thank You Maitreyi!)","https://www.youtube.com/watch?v=28FFBNIFEco",9,47,""
2024,8,"HM","Rule the World [PMV] Animated Music Video","https://www.youtube.com/watch?v=cqEIHT1h1cc",9,47,""
2024,8,"HM","Funky Pink (PMV Project): 2024 Everfree Northwest - Best Story WINNER","https://www.youtube.com/watch?v=1_dyDNZjCoU",3,47,""
2024,8,"HM","PMV - MASAYUME CHASING (EFNW 2024 Judge's Choice)","https://www.youtube.com/watch?v=o0u-P2NQRXs",3,47,""
