"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,12,"1","Another Day in Ponyville [Animation]","https://www.youtube.com/watch?v=HuIqxVNIeWU",27,38,""
2024,12,"2","Once Upon a Derpy Winter - MLP Animated Short","https://www.youtube.com/watch?v=kNXiVO6oAsA",16,38,"Tie broken randomly by computer"
2024,12,"3","Tell Your Tale: REANIMATED (As the Misty Clears)","https://www.youtube.com/watch?v=9bI6fB7v7-Y",16,38,"Tie broken randomly by computer"
2024,12,"4","PARASITE (Somakra) | MLP Animated Music Video","https://www.youtube.com/watch?v=L56MKxtkjKk",15,38,""
2024,12,"5","4everfreebrony - HORSE IS GOOD (feat. @princewhateverer & @MelodyBrony) [MLP PARODY]","https://www.youtube.com/watch?v=alA1oBBuz2o",14,38,""
2024,12,"6","[YTP] Un-Christmas","https://www.youtube.com/watch?v=8rDvfK1ukww",13,38,""
2024,12,"7","Dash And Derpy","https://www.youtube.com/watch?v=F4MS3BeLDRw",12,38,""
2024,12,"8","Broniest React - A Hearth's Warming Tail","https://www.youtube.com/watch?v=kJCMA7VlpUc",10,38,""
2024,12,"9","The Other Alicorn (MLP Animated Short)","https://www.youtube.com/watch?v=t1mRa1yv9dc",9,38,"Tie broken randomly by computer"
2024,12,"10","MLP Characters as Vines (ANIMATIC)","https://www.youtube.com/watch?v=nOnfnyvPzW4",9,38,"Tie broken randomly by computer"
2024,12,"HM","CHRISTMAS ISOLATION | MLP G5 Animatic","https://www.youtube.com/watch?v=24E6gwajzFE",14,38,"Creator already placed higher in list."
2024,12,"HM","My Little Pony The Movie: Hearth's Warming In Manehattan","https://www.youtube.com/watch?v=Uvesr4qB7BQ",8,38,""
2024,12,"HM","Pony Alert 2 - Opening Cinematic","https://www.youtube.com/watch?v=CLNh-T4bTNw",8,38,""
2024,12,"HM","MLP-SquidGame || Twilight Goes Thug Life [Animation]","https://www.youtube.com/watch?v=i2isLUTTrGs",8,38,""
