"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,7,"1","Celestia's Precious Cake (MLP in real life)","https://www.youtube.com/watch?v=hjltzA5Sb7s",35,41,""
2024,7,"2","THE WINNER TAKES IT ALL - MLP G5 Fan Animation","https://www.youtube.com/watch?v=ciOxHQUaOSc",28,41,""
2024,7,"3","You Would Not Believe Your Eyes...","https://www.youtube.com/watch?v=M642OS2h5oQ",23,41,""
2024,7,"4","GalaCon 2024: Opening Animation by DoubleWbrothers","https://www.youtube.com/watch?v=KZVX-p7AEZg",21,41,"Tie broken randomly by computer"
2024,7,"5","How ""Magic Duel"" Should Have Ended","https://www.youtube.com/watch?v=TPbeu6rUeQg",21,41,"Tie broken randomly by computer"
2024,7,"6","【小马宝莉/自制动画/寿命论】𝑳𝒐𝒔𝒆 𝒀𝒐𝒖 𝑵𝒐𝒘","https://www.youtube.com/watch?v=vnS2z2bFawM",19,41,"YouTube version: ""[MLP/PMV] 𝑳𝒐𝒔𝒆 𝒀𝒐𝒖 𝑵𝒐𝒘"" https://www.youtube.com/watch?v=vnS2z2bFawM"
2024,7,"7","Cheez-it Dash","https://www.youtube.com/watch?v=BFQo-G6Qu0k",16,41,"Tie broken randomly by computer"
2024,7,"8","Pinkie Tales: Rumpletrotskin","https://www.youtube.com/watch?v=-veOGqknciY",16,41,"Tie broken randomly by computer"
2024,7,"9","HOT TO GO (Rarijack edition) // PMV 💜🧡","https://www.youtube.com/watch?v=2_HTpS-Fa60",14,41,""
2024,7,"10","Villainon","https://www.youtube.com/watch?v=0MmgBaP3kmY",13,41,"Tie broken randomly by computer"
2024,7,"HM","[3-5] Ace Attorney: Elements of Justice - Means, Motive, and Causation","https://www.youtube.com/watch?v=L645mHKVnUA",13,41,"HM. Tie broken randomly by computer"
2024,7,"HM","Stop Motion | CREAM | Pinkie Pie and Gummy trying to make a cake | My Little Pony","https://www.youtube.com/watch?v=IFCG0Eehkfk",12,41,"HM"
2024,7,"HM","therapy session","https://www.youtube.com/watch?v=G_31-XBKyDY",9,41,"HM"
2024,7,"HM","HORS TANK","https://www.youtube.com/watch?v=EP4iJd91JeQ",6,41,"HM"
2024,7,"HM","Makeover (MLP Animation)","https://www.youtube.com/watch?v=XBeNoC1TJFM",6,41,"HM"
