"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,6,"1","Hugging Ponies 4","https://www.youtube.com/watch?v=no7rLTL68Tw",21,32,""
2024,6,"2","The Princesses Are FRAUDS","https://www.youtube.com/watch?v=8X1aksLwy3g",17,32,""
2024,6,"3","Good Luck, Babe || Vinyl x Octavia Animation","https://www.youtube.com/watch?v=MvuWUURrxrY",16,32,"Tie broken by random.org. One vote added from Twitter"
2024,6,"4","God That's Brilliant | Pony Musical Animatic","https://www.youtube.com/watch?v=XfTdwzwrps8",16,32,"Tie broken by random.org"
2024,6,"5","IRISYA | Pilote","https://www.youtube.com/watch?v=qJFbWTs5Ns0",16,32,"Tie broken by random.org"
2024,6,"6","Rarity's 4th of July","https://www.youtube.com/watch?v=_rPieklFf1s",15,32,""
2024,6,"7","[S2-2] Bonds of Justice - Stronger Together","https://www.youtube.com/watch?v=fZC5O8j90bs",14,32,""
2024,6,"8","Hoofynails For Bits [The /mlp/ Antithology 2024]","https://www.youtube.com/watch?v=tNqcUv3rxdI",12,32,""
2024,6,"9","What Is A Hippogriff?","https://www.youtube.com/watch?v=hr0j-i7t61g",11,32,""
2024,6,"10","Twilight's Special Cousin [Antithology 2024]","https://www.youtube.com/watch?v=gWDhSsvB7RM",10,32,""
2024,6,"HM","Rainbow Prank","https://www.youtube.com/watch?v=ItN_xKgsfPE",9,32,"HM"
2024,6,"HM","How Much Money Does Rarity ACTUALLY Make?","https://www.youtube.com/watch?v=GhgzoCabbek",7,32,"HM"
2024,6,"HM","MLP G5 Battle Square Enix Style","https://www.youtube.com/watch?v=1EbQMZLfB98",NA,32,"HM. Too short for main list"
