"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,3,"1","Memories (MLP in real life)","https://www.youtube.com/watch?v=qzMkMy9AkY4",34,41,""
2024,3,"2","The Seven Sins (part 1) [Animation]","https://www.youtube.com/watch?v=u5-ZARZMZNU",31,41,""
2024,3,"3","The Hand That Takes","https://www.youtube.com/watch?v=TRIMVnh4tkw",25,41,""
2024,3,"4","Pony Brains Forget Names","https://www.youtube.com/watch?v=rVfJhq-_BKI",16,41,""
2024,3,"5","[S2-1] Bonds of Justice ~ A Plea For Strength","https://www.youtube.com/watch?v=MulEIUtM4pM",15,41,"Tie broken by Random.org"
2024,3,"6","WHY I LIKE MLP G5","https://www.youtube.com/watch?v=Vcl58BjUuIk",15,41,"Tie broken by Random.org"
2024,3,"7","The Great and Powerful Trixie (MLP IRL)","https://www.youtube.com/watch?v=O20lRem1Zmk",13,41,""
2024,3,"8","Broniest React - Spike At Your Service","https://www.youtube.com/watch?v=Fy0ZZdsvjqk",12,41,""
2024,3,"9","[YTP] Un-Smile Song","https://www.youtube.com/watch?v=d0vvD5XmfTQ",11,41,"Tie broken by Random.org"
2024,3,"10","""Doctor Doctor!"" Pony Comic Animatic","https://www.youtube.com/watch?v=2Se33Pttba4",11,41,"Tie broken by Random.org"
2024,3,"HM","Life is tiring (MLP IRL)","https://www.youtube.com/watch?v=XE0ajvSQ7wc",12,41,"HM, creator already placed higher"
2024,3,"HM","Luna's Tantabus Caused Every Conflict in MLP:FiM","https://www.youtube.com/watch?v=PMkNlN2BFwo",8,41,"HM"
2024,3,"HM","The HarmonyCon 2024 Experience!","https://www.youtube.com/watch?v=kdadr6CvAAQ",6,41,"HM"
