"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,5,"1","Strange Pony Worlds","https://www.youtube.com/watch?v=Ev-OABfTewg",25,30,""
2024,5,"2","Ask Ponies - Princess Cadence - Pony Animation","https://www.youtube.com/watch?v=bHB3XshiDc0",23,30,""
2024,5,"3","You Know What They Say...","https://www.youtube.com/watch?v=UplHsTfSRn0",19,30,""
2024,5,"4","Live from Sweet Apple Acres","https://www.youtube.com/watch?v=_xGdGyDJDDI",16,30,"Tie broken by random.org"
2024,5,"4","SWEETIE BOT SINGS SIGNAL/NOISE","https://www.youtube.com/watch?v=81dYyK_gBLk",16,30,"Tie broken by random.org"
2024,5,"5","(FW) Beyond Her Garden (MLP Animation)","https://www.youtube.com/watch?v=YFE4TB70E5o",15,30,""
2024,5,"6","Hugging Ponies 2","https://www.youtube.com/watch?v=KXOJ6hA2b-s",14,30,""
2024,5,"7","[3-4] Ace Attorney: Elements of Justice ~ Transpositional","https://www.youtube.com/watch?v=ZA4k-y04pwA",13,30,""
2024,5,"8","【animation】《Misty Dream》Episode 1：Onset of Moonrise-MLP","https://www.youtube.com/watch?v=pVdqwzG7bcU",12,30,""
2024,5,"10","Поняхи в мире Фоллаута","https://www.youtube.com/watch?v=HZ2tAmrBOM4",10,30,"YouTube's English title: Ponies in the world of Fallout"
2024,5,"HM","Hugging Ponies 3","https://www.youtube.com/watch?v=86FSQ-ib1cg",11,30,"Creator already placed higher on list"
2024,5,"HM","Rainbow ""Alcoholic"" Dash","https://www.youtube.com/watch?v=UsTCvaKZ6kc",8,30,""
2024,5,"HM","SOAR IN THE SKY","https://www.youtube.com/watch?v=1hqFPrBnGIQ",4,30,""
