"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,11,"1","Celestia's Precious Cake 2 (MLP in real life)","https://www.youtube.com/watch?v=xqk8HE3_IeQ",24,33,""
2024,11,"2","Sweetie Belle Needs More Attention","https://www.youtube.com/watch?v=hAqZqR_tYaM",21,33,"Tie broken randomly by computer"
2024,11,"3","Why's This Dealer... | Animated Music Video","https://www.youtube.com/watch?v=aoJ1pK0NEb8",21,33,"Tie broken randomly by computer"
2024,11,"4","Pinku - MLP Animation","https://www.youtube.com/watch?v=yYobTNp5kyI",21,33,"Tie broken randomly by computer"
2024,11,"5","[YTP] Winter Doesn't Wrap Up","https://www.youtube.com/watch?v=7Jxg1M7kjeo",15,33,""
2024,11,"6","If Rainbow Dash was a Streamer (MLP ANIMATION)","https://www.youtube.com/watch?v=B9cDa2IoiM8",13,33,""
2024,11,"7","MLP G5 Animated Bloopers and Outtakes","https://www.youtube.com/watch?v=_H6pXcpaXac",12,33,"Tie broken randomly by computer"
2024,11,"8","PrinceWhateverer - Holy War [MLP ANIMATIC]","https://www.youtube.com/watch?v=daEvLleUhWw",12,33,"Tie broken randomly by computer"
2024,11,"9","SKELEBOTS Animated Music Video","https://www.youtube.com/watch?v=13cFUR7Zryc",11,33,""
2024,11,"10","My Little Pony The Movie: Soarin & Braeburn","https://pony.tube/w/jFsHnYXtazr28sYUc19vwi",10,33,""
2024,11,"HM","I Invented Cancer","https://www.youtube.com/watch?v=DTWw4FkDwRM",9,33,""
2024,11,"HM","LoveFool (SFM Ponies)","https://www.youtube.com/watch?v=FifJSpk8y9w",8,33,""
2024,11,"HM","Pony Pony Pony Pony 2024","https://www.youtube.com/watch?v=hOgamnKX2-o",8,33,""
2024,11,"HM","Pipp Petals Sings ""SLUG"" by Royal & the Serpent","https://www.youtube.com/watch?v=FHkryexofg4",7,33,""
2024,11,"HM","B̶͕̞͝l̵̯̦̓o̴̖̥̔w̴͈͙̚ ̵̰̲̀̚7̵̥̆͘  ~ 😂 ⁿᵒᵗ ⳽ⳏⲟⲛ⳽ⲟⲅⲉ𝖽 ⲃⲩ ◁ ⳨ⲅⳕⲧⲟ ⳑⲁⲩ ◁","https://www.youtube.com/watch?v=FftBYrJ-JcY",6,33,""
2024,11,"HM","[PMV] What You Hoped To Find","https://www.youtube.com/watch?v=U9UQfTMgu28",6,33,""
