"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,10,"1","My Roommate is a Vampire [Animated PMV]","https://www.youtube.com/watch?v=swKOMu9TlmM",28,44,"Tie broken randomly by computer"
2024,10,"2","My Little Pony The Movie: The Death Of Twilight Sparkle","https://pony.tube/w/iCDZVxeqNiAWBSv5Zvk2qe",28,44,"Tie broken randomly by computer"
2024,10,"3","Twiggie Halloween 5: Pol-Twig-eist","https://www.youtube.com/watch?v=8q4MclKfLIU",26,44,"Tie broken randomly by computer"
2024,10,"4","Princess Celestia Loves to Help","https://www.youtube.com/watch?v=7MkSJ0T0i8c",26,44,"Tie broken randomly by computer"
2024,10,"5","Ponies vs Internet (MLP in Real Life)","https://www.youtube.com/watch?v=UzYH1xZB0OA",25,44,""
2024,10,"6","G5 Finds Out They've Been Canceled","https://www.youtube.com/watch?v=KTTEZfaD_X0",19,44,""
2024,10,"7","My Little Romance - Princess [MLP ANIMATIC]","https://www.youtube.com/watch?v=w0rvFX3EQV0",18,44,""
2024,10,"8","Derpy Finds a Strange Stick (SFM Ponies)","https://www.youtube.com/watch?v=3pEIUzNv2gI",17,44,"Tie broken randomly by computer"
2024,10,"9","Ponies vs the Incels","https://www.youtube.com/watch?v=82mVRewz-sU",17,44,"Tie broken randomly by computer"
2024,10,"10","[YTP] Flawless Causes The Third Impact","https://www.youtube.com/watch?v=YP9ExGEWzlI",14,44,""
2024,10,"HM","Tell Your Tale is Beautiful Fun","https://www.youtube.com/watch?v=I0Ny6gibKq8",12,44,""
2024,10,"HM","A Little Bit of Darkness - Animation","https://www.youtube.com/watch?v=AnsCfI_lERM",8,44,""
2024,10,"HM","UK PonyCon 2024 - Opening Ceremonies Animation","https://www.youtube.com/watch?v=KxmK28hRH20",8,44,""
