"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2024,9,"1","Hugging Ponies 5","https://www.youtube.com/watch?v=dfW6emDeOvM",18,25,""
2024,9,"2","Mare Fair 2024 Opening Ceremony Animation","https://www.youtube.com/watch?v=v8fqNXSazBQ",15,25,""
2024,9,"3","MLP G5 Animatic Part 6 ""Empathy""","https://www.youtube.com/watch?v=DG-mhJSVLIk",13,25,""
2024,9,"4","WORLD COLLIDE (PMV) | HAPPY BIRTHDAY MY LITTLE PONY","https://www.youtube.com/watch?v=xT8vJ_6zasc",12,25,"Tie broken randomly by computer"
2024,9,"5","Broniest React - Between Dark and Dawn","https://www.youtube.com/watch?v=oR5H57bhSQ4",12,25,"Tie broken randomly by computer"
2024,9,"6","Cheerleader [PMV]","https://www.youtube.com/watch?v=NRW_wBNeo8A",11,25,""
2024,9,"7","Octavia HATES Tipping (mlp Animation)","https://www.youtube.com/watch?v=aGejemH8IWw",9,25,""
2024,9,"8","Dead in the Water | Pony Musical Animatic","https://www.youtube.com/watch?v=Wpk7FSoCTxI",8,25,""
2024,9,"9","fluttershy's awesome secret","https://www.youtube.com/watch?v=rfNnQ8iGlNo",6,25,"Tie broken randomly by computer"
2024,9,"10","[YTP] MLP Gen 666","https://www.youtube.com/watch?v=Vwnb-e8vV-g",6,25,"Tie broken randomly by computer"
2024,9,"HM","Two Hooves Ahead (Mlp animation)","https://www.youtube.com/watch?v=-5wBM35RiIo",7,25,"Creator already placed higher on list."
2024,9,"HM","dBPony - Stay With Me","https://www.youtube.com/watch?v=_qf7leXZ9WI",5,25,""
2024,9,"HM","How Does Sentience Work in Equestria?","https://www.youtube.com/watch?v=02pzE2Ssmww",5,25,""
2024,9,"HM","【MLP/PMV】𝑪𝒉𝒂𝒏𝒕 𝒐𝒇 𝑰𝒎𝒎𝒐𝒓𝒕𝒂𝒍𝒊𝒕𝒚","https://www.youtube.com/watch?v=Q7BVpq4N_dc",5,25,""
