"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2025,2,"1","Bright Eyes in the Thunderclouds | Animated Film [Project Thundercloud Remake]","https://www.youtube.com/watch?v=9DQYEMnqsBQ",31,35,""
2025,2,"2","My Little Romance - The Great & Powerful [MLP Parody Animatic]","https://www.youtube.com/watch?v=72tkMLXethE",28,35,""
2025,2,"3","Princess Luna is Looking for a Hobby","https://www.youtube.com/watch?v=dN_rjy67ftE",27,35,""
2025,2,"4","Rainbow Dash Meets Rainbow Dash","https://www.youtube.com/watch?v=iOPy_0ZADSs",25,35,""
2025,2,"5","Ponies vs Social Media","https://www.youtube.com/watch?v=e7PSnarGrys",18,35,""
2025,2,"6","[MLP] Fall Out Equestria: Departure - Fan Made Animation By Viento Studio","https://www.youtube.com/watch?v=5JYRB2GHtAc",17,35,""
2025,2,"7","Food Emporium [HarmonyCon Millionaire Commercial]","https://www.youtube.com/watch?v=DWdQIWMTyM4",14,35,""
2025,2,"8","Twilight Sparkle and Friends Get Stuck in a Porta Potty","https://www.youtube.com/watch?v=hnVxjB0WLfQ",11,35,""
2025,2,"9","Pony Therapy [PMV]","https://www.youtube.com/watch?v=Pz_SpFc7kKc",10,35,""
2025,2,"10","4everfreebrony & @princewhateverer - Ms. Pinkie Pie [MLP PARODY]","https://www.youtube.com/watch?v=eggCad_ar-w",8,35,""
2025,2,"HM","Ponies VS iPads","https://www.youtube.com/watch?v=TyBThmGHLys",13,35,"HM. Creator already placed higher on list"
2025,2,"HM","フラテトリシャイ","https://www.youtube.com/watch?v=1xXHFGonGoE",8,35,"HM"
2025,2,"HM","Ponies Online: Fallout Equestria! Episode 1!","https://www.youtube.com/watch?v=A90HdqNNTxw",8,35,"HM"
2025,2,"HM","Alternative Haycartes' Method","https://www.youtube.com/watch?v=ajSKYpuSu_s",1,35,"HM"
