"Year","Month","Rank","Title","Link","Votes","Total.voters","Notes"
2025,1,"1","Trying to Explain Board Games - MLP Animated","https://www.youtube.com/watch?v=5Cvr9RVrsuw",24,34,""
2025,1,"2","Ponies in Space","https://www.youtube.com/watch?v=GAK58RX7tVw",23,34,""
2025,1,"3","Hugging Ponies 6","https://www.youtube.com/watch?v=GuTFFHLEkcQ",21,34,""
2025,1,"4","Friendship Lesson with Sunny: EPISODE 1 (MLP G5 Parody Animation)","https://www.youtube.com/watch?v=UKshBmTucWs",20,34,""
2025,1,"5","My Little Pony The Movie: Shattered Harmony","https://pony.tube/w/u7qmQtaS2VFxxfUyVMQdc3",15,34,""
2025,1,"6","Mare of the Hill Intro - Parody Animation","https://www.youtube.com/watch?v=9EcIkhdqbeM",13,34,""
2025,1,"7","My Little Arcane - Science is Magic","https://www.youtube.com/watch?v=7MLRXA_tlXc",11,34,"Tie broken randomly by computer"
2025,1,"8","Prince & Melody - Darkness Calling [Tamers12345 Animated MLP song]","https://www.youtube.com/watch?v=V_Hn6heZclA",11,34,"Tie broken randomly by computer"
2025,1,"9","【MLP/PMV】By Your Side","https://www.youtube.com/watch?v=AvbutTSur0M",10,34,"Tie broken randomly by computer"
2025,1,"10","Mudbriar is an Underrated King","https://www.youtube.com/watch?v=nfmz331kcpw",10,34,"Tie broken randomly by computer"
2025,1,"HM","THE TRUE ENDING OF MLP G5 | Animatic","https://www.youtube.com/watch?v=kFJnGsp56TU",12,34,"HM. Creator already placed higher in list"
2025,1,"HM","My Little Pony: LUDICROSS // EPISODE 1","https://www.youtube.com/watch?v=3LJ0ngCMB_A",10,34,"HM. Tie broken randomly by computer"
2025,1,"HM","Фижма [Animation]","https://www.youtube.com/watch?v=WZXzqyd3AOs",10,34,"HM. Tie broken randomly by computer"
2025,1,"HM","TRIXIEPALOOZA 3","https://www.youtube.com/watch?v=WwgUgTAuzYA",9,34,"HM"
2025,1,"HM","GIFT","https://www.youtube.com/watch?v=EkVgKgjmd_0",8,34,"HM"
